date,state,checkins,unique_ind,unique_loc
2021-01-01,Terengganu,223417,132496,8009
2021-01-01,W.P. KualaLumpur,3591737,1570301,53994
2021-01-01,W.P. Labuan,41771,19842,1041
2021-01-01,W.P. Putrajaya,239678,129310,1519
2021-01-02,Johor,1721208,796963,66502
2021-01-02,Kedah,819480,420103,30315
2021-01-02,Kelantan,281115,157583,15234
2021-01-02,Melaka,680121,300853,18705
2021-01-02,Negeri Sembilan,676052,336620,19950
2021-01-02,Pahang,839337,361359,23566
2021-01-02,Perak,1399036,625725,44850
2021-01-02,Perlis,198752,116111,6777
2021-01-02,Pulau Pinang,1441016,603631,38069
2021-01-02,Sabah,864575,338719,29331
2021-01-02,Sarawak,1385714,495868,31448
2021-01-02,Selangor,4263943,1954651,105356
2021-01-02,Terengganu,263134,145421,12016
2021-01-02,W.P. KualaLumpur,3598267,1553941,71479
2021-01-02,W.P. Labuan,52843,22798,1417
2021-01-02,W.P. Putrajaya,205364,113646,1692
2021-01-03,Johor,2084563,890141,59783
2021-01-03,Kedah,802557,412245,30903
2021-01-03,Kelantan,277698,156153,17395
2021-01-03,Melaka,610196,273667,14287
2021-01-03,Negeri Sembilan,590974,305216,14765
2021-01-03,Pahang,504625,252194,14408
2021-01-03,Perak,947903,487800,28912
2021-01-03,Perlis,161797,96727,4770
2021-01-03,Pulau Pinang,1221380,542178,27188
2021-01-03,Sabah,773420,312928,22617
2021-01-03,Sarawak,1344771,492137,24328
2021-01-03,Selangor,3776086,1801189,75949
2021-01-03,Terengganu,251192,140704,14108
2021-01-03,W.P. KualaLumpur,3094582,1423400,53124
2021-01-03,W.P. Labuan,43822,20102,1083
2021-01-03,W.P. Putrajaya,206696,114463,1492
2021-01-04,Johor,1990345,883184,81749
2021-01-04,Kedah,730980,381402,33788
2021-01-04,Kelantan,233789,135068,16774
2021-01-04,Melaka,573681,257823,21698
2021-01-04,Negeri Sembilan,607918,299945,22815
2021-01-04,Pahang,681149,303404,24760
2021-01-04,Perak,1234553,559223,49319
2021-01-04,Perlis,178549,110465,8211
2021-01-04,Pulau Pinang,1293757,586674,45307
2021-01-04,Sabah,841303,345862,34713
2021-01-04,Sarawak,1263834,493058,37182
2021-01-04,Selangor,4106662,1993971,131358
2021-01-04,Terengganu,212240,122337,13283
2021-01-04,W.P. KualaLumpur,3517975,1605218,91284
2021-01-04,W.P. Labuan,54873,23980,1786
2021-01-04,W.P. Putrajaya,197972,116246,2571
2021-01-05,Johor,2001189,884577,84011
2021-01-05,Kedah,685100,361290,33266
2021-01-05,Kelantan,215936,125694,16077
2021-01-05,Melaka,553825,250943,21932
2021-01-05,Negeri Sembilan,585236,291924,23240
2021-01-05,Pahang,651158,288163,25367
2021-01-05,Perak,1169030,532716,50475
2021-01-05,Perlis,170825,106964,8239
2021-01-05,Pulau Pinang,1238925,571042,45500
2021-01-05,Sabah,841869,344279,34874
2021-01-05,Sarawak,1295537,500401,38075
