state,age_group,dose,metric,value
Pahang,30_39,booster1,total,144999.0
Pahang,30_39,booster2,total,3461.0
Pahang,30_39,dose1,total,245379.0
Pahang,30_39,dose2,total,242814.0
Pahang,40_49,booster1,total,111759.0
Pahang,40_49,booster2,total,2552.0
Pahang,40_49,dose1,total,178010.0
Pahang,40_49,dose2,total,176450.0
Pahang,50_59,booster1,total,91983.0
Pahang,50_59,booster2,total,2577.0
Pahang,50_59,dose1,total,138967.0
Pahang,50_59,dose2,total,138172.0
Pahang,5_11,booster1,total,168.0
Pahang,5_11,booster2,total,1.0
Pahang,5_11,dose1,total,76560.0
Pahang,5_11,dose2,total,65384.0
Pahang,60_69,booster1,total,70228.0
Pahang,60_69,booster2,total,3291.0
Pahang,60_69,dose1,total,102773.0
Pahang,60_69,dose2,total,102298.0
Pahang,70_79,booster1,total,31616.0
Pahang,70_79,booster2,total,1769.0
Pahang,70_79,dose1,total,47616.0
Pahang,70_79,dose2,total,47426.0
Pahang,80_above,booster1,total,8013.0
Pahang,80_above,booster2,total,412.0
Pahang,80_above,dose1,total,13557.0
Pahang,80_above,dose2,total,13435.0
Pahang,adolescent,booster1,total,2318.0
Pahang,adolescent,booster2,total,14.0
Pahang,adolescent,dose1,total,151661.0
Pahang,adolescent,dose2,total,148039.0
Pahang,adult,booster1,total,632277.0
Pahang,adult,booster2,total,17222.0
Pahang,adult,dose1,total,1052529.0
Pahang,adult,dose2,total,1040852.0
Pahang,child,booster1,total,168.0
Pahang,child,booster2,total,1.0
Pahang,child,dose1,total,76560.0
Pahang,child,dose2,total,65384.0
Pahang,elderly,booster1,total,109857.0
Pahang,elderly,booster2,total,5472.0
Pahang,elderly,dose1,total,163946.0
Pahang,elderly,dose2,total,163159.0
Pahang,total,booster1,total,634763.0
Pahang,total,booster2,total,17237.0
Pahang,total,dose1,total,1280750.0
Pahang,total,dose2,total,1254275.0
Perak,0_4,booster1,total,0.0
Perak,0_4,booster2,total,0.0
Perak,0_4,dose1,total,0.0
Perak,0_4,dose2,total,0.0
Perak,12_17,booster1,total,6401.0
Perak,12_17,booster2,total,44.0
Perak,12_17,dose1,total,216052.0
Perak,12_17,dose2,total,209096.0
Perak,18_29,booster1,total,287613.0
Perak,18_29,booster2,total,5470.0
Perak,18_29,dose1,total,439122.0
Perak,18_29,dose2,total,435934.0
Perak,30_39,booster1,total,220234.0
Perak,30_39,booster2,total,6263.0
Perak,30_39,dose1,total,331180.0
Perak,30_39,dose2,total,327965.0
Perak,40_49,booster1,total,190608.0
Perak,40_49,booster2,total,5239.0
Perak,40_49,dose1,total,271094.0
Perak,40_49,dose2,total,268697.0
Perak,50_59,booster1,total,187382.0
Perak,50_59,booster2,total,6390.0
Perak,50_59,dose1,total,257995.0
Perak,50_59,dose2,total,256320.0
Perak,5_11,booster1,total,215.0
Perak,5_11,booster2,total,2.0
Perak,5_11,dose1,total,120235.0
Perak,5_11,dose2,total,103595.0
Perak,60_69,booster1,total,160755.0
Perak,60_69,booster2,total,9541.0
Perak,60_69,dose1,total,212091.0
Perak,60_69,dose2,total,210875.0
Perak,70_79,booster1,total,83118.0
Perak,70_79,booster2,total,6586.0
Perak,70_79,dose1,total,109640.0
Perak,70_79,dose2,total,108978.0
Perak,80_above,booster1,total,26739.0
Perak,80_above,booster2,total,2076.0
Perak,80_above,dose1,total,38311.0
Perak,80_above,dose2,total,37888.0
Perak,adolescent,booster1,total,6401.0
Perak,adolescent,booster2,total,44.0
Perak,adolescent,dose1,total,216052.0
Perak,adolescent,dose2,total,209096.0
Perak,adult,booster1,total,1167764.0
Perak,adult,booster2,total,42122.0
Perak,adult,dose1,total,1689594.0
Perak,adult,dose2,total,1671095.0
Perak,child,booster1,total,215.0
Perak,child,booster2,total,2.0
Perak,child,dose1,total,120235.0
Perak,child,dose2,total,103595.0
Perak,elderly,booster1,total,270612.0
Perak,elderly,booster2,total,18203.0
Perak,elderly,dose1,total,360042.0
Perak,elderly,dose2,total,357741.0
Perak,total,booster1,total,1174380.0
Perak,total,booster2,total,42168.0
Perak,total,dose1,total,2025881.0
Perak,total,dose2,total,1983786.0
Perlis,0_4,booster1,total,0.0
Perlis,0_4,booster2,total,0.0
Perlis,0_4,dose1,total,0.0
Perlis,0_4,dose2,total,0.0
Perlis,12_17,booster1,total,88.0
Perlis,12_17,booster2,total,0.0
Perlis,12_17,dose1,total,24678.0
Perlis,12_17,dose2,total,24240.0
Perlis,18_29,booster1,total,21553.0
Perlis,18_29,booster2,total,284.0
Perlis,18_29,dose1,total,52525.0
Perlis,18_29,dose2,total,52184.0
Perlis,30_39,booster1,total,16048.0
Perlis,30_39,booster2,total,375.0
Perlis,30_39,dose1,total,40379.0
Perlis,30_39,dose2,total,40052.0
Perlis,40_49,booster1,total,11925.0
Perlis,40_49,booster2,total,202.0
Perlis,40_49,dose1,total,28753.0
Perlis,40_49,dose2,total,28596.0
Perlis,50_59,booster1,total,12081.0
Perlis,50_59,booster2,total,147.0
Perlis,50_59,dose1,total,26233.0
Perlis,50_59,dose2,total,26111.0
Perlis,5_11,booster1,total,7.0
Perlis,5_11,booster2,total,0.0
Perlis,5_11,dose1,total,9207.0
Perlis,5_11,dose2,total,7547.0
Perlis,60_69,booster1,total,11143.0
Perlis,60_69,booster2,total,192.0
Perlis,60_69,dose1,total,20362.0
Perlis,60_69,dose2,total,20262.0
Perlis,70_79,booster1,total,5378.0
Perlis,70_79,booster2,total,97.0
Perlis,70_79,dose1,total,10218.0
Perlis,70_79,dose2,total,10153.0
Perlis,80_above,booster1,total,1458.0
Perlis,80_above,booster2,total,40.0
Perlis,80_above,dose1,total,3442.0
Perlis,80_above,dose2,total,3398.0
Perlis,adolescent,booster1,total,88.0
Perlis,adolescent,booster2,total,0.0
Perlis,adolescent,dose1,total,24678.0
Perlis,adolescent,dose2,total,24240.0
Perlis,adult,booster1,total,79993.0
Perlis,adult,booster2,total,1343.0
Perlis,adult,dose1,total,183276.0
Perlis,adult,dose2,total,181862.0
Perlis,child,booster1,total,7.0
Perlis,child,booster2,total,0.0
Perlis,child,dose1,total,9207.0
Perlis,child,dose2,total,7547.0
Perlis,elderly,booster1,total,17979.0
Perlis,elderly,booster2,total,329.0
Perlis,elderly,dose1,total,34022.0
Perlis,elderly,dose2,total,33813.0
Perlis,total,booster1,total,80088.0
Perlis,total,booster2,total,1343.0
Perlis,total,dose1,total,217161.0
Perlis,total,dose2,total,213649.0
Pulau Pinang,0_4,booster1,total,0.0
Pulau Pinang,0_4,booster2,total,0.0
Pulau Pinang,0_4,dose1,total,0.0
Pulau Pinang,0_4,dose2,total,0.0
Pulau Pinang,12_17,booster1,total,2436.0
Pulau Pinang,12_17,booster2,total,11.0
Pulau Pinang,12_17,dose1,total,136357.0
Pulau Pinang,12_17,dose2,total,133829.0
Pulau Pinang,18_29,booster1,total,284284.0
Pulau Pinang,18_29,booster2,total,4863.0
Pulau Pinang,18_29,dose1,total,406207.0
Pulau Pinang,18_29,dose2,total,403243.0
Pulau Pinang,30_39,booster1,total,227633.0
Pulau Pinang,30_39,booster2,total,6129.0
Pulau Pinang,30_39,dose1,total,306083.0
Pulau Pinang,30_39,dose2,total,304215.0
Pulau Pinang,40_49,booster1,total,195022.0
Pulau Pinang,40_49,booster2,total,4889.0
Pulau Pinang,40_49,dose1,total,247016.0
Pulau Pinang,40_49,dose2,total,245731.0
Pulau Pinang,50_59,booster1,total,159849.0
Pulau Pinang,50_59,booster2,total,4881.0
Pulau Pinang,50_59,dose1,total,194532.0
Pulau Pinang,50_59,dose2,total,193669.0
Pulau Pinang,5_11,booster1,total,168.0
Pulau Pinang,5_11,booster2,total,0.0
Pulau Pinang,5_11,dose1,total,83269.0
Pulau Pinang,5_11,dose2,total,74758.0
Pulau Pinang,60_69,booster1,total,122209.0
Pulau Pinang,60_69,booster2,total,5819.0
Pulau Pinang,60_69,dose1,total,143048.0
Pulau Pinang,60_69,dose2,total,142565.0
Pulau Pinang,70_79,booster1,total,62324.0
Pulau Pinang,70_79,booster2,total,4029.0
Pulau Pinang,70_79,dose1,total,73711.0
Pulau Pinang,70_79,dose2,total,73465.0
Pulau Pinang,80_above,booster1,total,20033.0
Pulau Pinang,80_above,booster2,total,1481.0
Pulau Pinang,80_above,dose1,total,24954.0
Pulau Pinang,80_above,dose2,total,24762.0
Pulau Pinang,adolescent,booster1,total,2436.0
Pulau Pinang,adolescent,booster2,total,11.0
Pulau Pinang,adolescent,dose1,total,136357.0
Pulau Pinang,adolescent,dose2,total,133829.0
Pulau Pinang,adult,booster1,total,1085858.0
Pulau Pinang,adult,booster2,total,32985.0
Pulau Pinang,adult,dose1,total,1416452.0
Pulau Pinang,adult,dose2,total,1406376.0
Pulau Pinang,child,booster1,total,168.0
Pulau Pinang,child,booster2,total,0.0
Pulau Pinang,child,dose1,total,83269.0
Pulau Pinang,child,dose2,total,74758.0
Pulau Pinang,elderly,booster1,total,204566.0
Pulau Pinang,elderly,booster2,total,11329.0
Pulau Pinang,elderly,dose1,total,241713.0
Pulau Pinang,elderly,dose2,total,240792.0
Pulau Pinang,total,booster1,total,1088462.0
Pulau Pinang,total,booster2,total,32996.0
Pulau Pinang,total,dose1,total,1636078.0
Pulau Pinang,total,dose2,total,1614963.0
Sabah,0_4,booster1,total,0.0
Sabah,0_4,booster2,total,0.0
Sabah,0_4,dose1,total,0.0
Sabah,0_4,dose2,total,0.0
Sabah,12_17,booster1,total,4843.0
Sabah,12_17,booster2,total,36.0
Sabah,12_17,dose1,total,334684.0
Sabah,12_17,dose2,total,322299.0
Sabah,18_29,booster1,total,264563.0
Sabah,18_29,booster2,total,4386.0
Sabah,18_29,dose1,total,660202.0
Sabah,18_29,dose2,total,650083.0
Sabah,30_39,booster1,total,217430.0
Sabah,30_39,booster2,total,5751.0
