"date","state","cases_imported","cases_imported_total"
2020-09-26,"PERAK",0,6
2020-09-26,"SELANGOR",0,262
2020-09-26,"NEGERI SEMBILAN",0,156
2020-09-26,"MELAKA",0,40
2020-09-26,"JOHOR",0,54
2020-09-26,"PAHANG",0,5
2020-09-26,"TERENGGANU",0,1
2020-09-26,"KELANTAN",0,3
2020-09-26,"SABAH",0,30
2020-09-26,"SARAWAK",0,51
2020-09-26,"WP KUALA LUMPUR",3,322
2020-09-26,"WP PUTRAJAYA",0,14
2020-09-26,"WP LABUAN",0,6
2020-09-27,"PERLIS",0,0
2020-09-27,"KEDAH",0,6
2020-09-27,"PULAU PINANG",0,0
2020-09-27,"PERAK",0,6
2020-09-27,"SELANGOR",1,263
2020-09-27,"NEGERI SEMBILAN",0,156
2020-09-27,"MELAKA",0,40
2020-09-27,"JOHOR",0,54
2020-09-27,"PAHANG",0,5
2020-09-27,"TERENGGANU",0,1
2020-09-27,"KELANTAN",0,3
2020-09-27,"SABAH",0,30
2020-09-27,"SARAWAK",0,51
2020-09-27,"WP KUALA LUMPUR",3,325
2020-09-27,"WP PUTRAJAYA",0,14
2020-09-27,"WP LABUAN",0,6
2020-09-28,"PERLIS",0,0
2020-09-28,"KEDAH",0,6
2020-09-28,"PULAU PINANG",0,0
2020-09-28,"PERAK",0,6
2020-09-28,"SELANGOR",1,264
2020-09-28,"NEGERI SEMBILAN",1,157
2020-09-28,"MELAKA",0,40
2020-09-28,"JOHOR",0,54
2020-09-28,"PAHANG",0,5
2020-09-28,"TERENGGANU",0,1
2020-09-28,"KELANTAN",0,3
2020-09-28,"SABAH",0,30
2020-09-28,"SARAWAK",0,51
2020-09-28,"WP KUALA LUMPUR",1,326
2020-09-28,"WP PUTRAJAYA",0,14
2020-09-28,"WP LABUAN",0,6
2020-09-29,"PERLIS",0,0
2020-09-29,"KEDAH",0,6
2020-09-29,"PULAU PINANG",0,0
2020-09-29,"PERAK",0,6
2020-09-29,"SELANGOR",1,265
2020-09-29,"NEGERI SEMBILAN",0,157
2020-09-29,"MELAKA",0,40
2020-09-29,"JOHOR",0,54
2020-09-29,"PAHANG",0,5
2020-09-29,"TERENGGANU",0,1
2020-09-29,"KELANTAN",0,3
2020-09-29,"SABAH",0,30
2020-09-29,"SARAWAK",3,54
2020-09-29,"WP KUALA LUMPUR",0,326
2020-09-29,"WP PUTRAJAYA",0,14
2020-09-29,"WP LABUAN",0,6
2020-09-30,"PERLIS",0,0
2020-09-30,"KEDAH",0,6
2020-09-30,"PULAU PINANG",0,0
2020-09-30,"PERAK",0,6
2020-09-30,"SELANGOR",0,265
2020-09-30,"NEGERI SEMBILAN",0,157
2020-09-30,"MELAKA",0,40
2020-09-30,"JOHOR",0,54
2020-09-30,"PAHANG",0,5
2020-09-30,"TERENGGANU",0,1
2020-09-30,"KELANTAN",0,3
2020-09-30,"SABAH",0,30
2020-09-30,"SARAWAK",0,54
2020-09-30,"WP KUALA LUMPUR",3,329
2020-09-30,"WP PUTRAJAYA",0,14
2020-09-30,"WP LABUAN",0,6
2020-10-01,"PERLIS",0,0
2020-10-01,"KEDAH",0,6
2020-10-01,"PULAU PINANG",0,0
2020-10-01,"PERAK",0,6
2020-10-01,"SELANGOR",0,265
2020-10-01,"NEGERI SEMBILAN",0,157
2020-10-01,"MELAKA",0,40
2020-10-01,"JOHOR",0,54
2020-10-01,"PAHANG",0,5
2020-10-01,"TERENGGANU",0,1
2020-10-01,"KELANTAN",0,3
2020-10-01,"SABAH",0,30
2020-10-01,"SARAWAK",0,54
2020-10-01,"WP KUALA LUMPUR",1,330
2020-10-01,"WP PUTRAJAYA",0,14
2020-10-01,"WP LABUAN",0,6
2020-10-02,"PERLIS",0,0
2020-10-02,"KEDAH",0,6
2020-10-02,"PULAU PINANG",0,0
2020-10-02,"PERAK",0,6
2020-10-02,"SELANGOR",0,265
2020-10-02,"NEGERI SEMBILAN",0,157
2020-10-02,"MELAKA",0,40
2020-10-02,"JOHOR",0,54
2020-10-02,"PAHANG",0,5
2020-10-02,"TERENGGANU",0,1
2020-10-02,"KELANTAN",0,3
2020-10-02,"SABAH",0,30
2020-10-02,"SARAWAK",0,54
2020-10-02,"WP KUALA LUMPUR",0,330
2020-10-02,"WP PUTRAJAYA",0,14
2020-10-02,"WP LABUAN",0,6
2020-10-03,"PERLIS",0,0
2020-10-03,"KEDAH",0,6
2020-10-03,"PULAU PINANG",0,0
2020-10-03,"PERAK",0,6
2020-10-03,"SELANGOR",0,265
2020-10-03,"NEGERI SEMBILAN",0,157
2020-10-03,"MELAKA",0,40
2020-10-03,"JOHOR",0,54
2020-10-03,"PAHANG",0,5
2020-10-03,"TERENGGANU",0,1
2020-10-03,"KELANTAN",0,3
2020-10-03,"SABAH",0,30
2020-10-03,"SARAWAK",0,54
2020-10-03,"WP KUALA LUMPUR",0,330
2020-10-03,"WP PUTRAJAYA",0,14
2020-10-03,"WP LABUAN",0,6
2020-10-04,"PERLIS",0,0
2020-10-04,"KEDAH",0,6
2020-10-04,"PULAU PINANG",0,0
2020-10-04,"PERAK",0,6
2020-10-04,"SELANGOR",0,265
2020-10-04,"NEGERI SEMBILAN",0,157
2020-10-04,"MELAKA",0,40
2020-10-04,"JOHOR",0,54
2020-10-04,"PAHANG",0,5
2020-10-04,"TERENGGANU",0,1
2020-10-04,"KELANTAN",0,3
2020-10-04,"SABAH",0,30
2020-10-04,"SARAWAK",0,54
2020-10-04,"WP KUALA LUMPUR",1,331
2020-10-04,"WP PUTRAJAYA",0,14
2020-10-04,"WP LABUAN",0,6
2020-10-05,"PERLIS",0,0
2020-10-05,"KEDAH",0,6
2020-10-05,"PULAU PINANG",0,0
2020-10-05,"PERAK",0,6
2020-10-05,"SELANGOR",0,265
2020-10-05,"NEGERI SEMBILAN",0,157
2020-10-05,"MELAKA",0,40
2020-10-05,"JOHOR",0,54
2020-10-05,"PAHANG",0,5
2020-10-05,"TERENGGANU",0,1
2020-10-05,"KELANTAN",0,3
2020-10-05,"SABAH",0,30
2020-10-05,"SARAWAK",1,55
2020-10-05,"WP KUALA LUMPUR",2,333
2020-10-05,"WP PUTRAJAYA",0,14
2020-10-05,"WP LABUAN",0,6
2020-10-06,"PERLIS",0,0
2020-10-06,"KEDAH",0,6
2020-10-06,"PULAU PINANG",0,0
2020-10-06,"PERAK",0,6
2020-10-06,"SELANGOR",1,266
2020-10-06,"NEGERI SEMBILAN",0,157
2020-10-06,"MELAKA",0,40
2020-10-06,"JOHOR",0,54
2020-10-06,"PAHANG",0,5
2020-10-06,"TERENGGANU",0,1
2020-10-06,"KELANTAN",0,3
2020-10-06,"SABAH",0,30
2020-10-06,"SARAWAK",0,55
2020-10-06,"WP KUALA LUMPUR",2,335
2020-10-06,"WP PUTRAJAYA",0,14
2020-10-06,"WP LABUAN",0,6
2020-10-07,"PERLIS",0,0
2020-10-07,"KEDAH",0,6
2020-10-07,"PULAU PINANG",0,0
2020-10-07,"PERAK",0,6
2020-10-07,"SELANGOR",1,267
2020-10-07,"NEGERI SEMBILAN",0,157
2020-10-07,"MELAKA",0,40
2020-10-07,"JOHOR",0,54
2020-10-07,"PAHANG",0,5
2020-10-07,"TERENGGANU",0,1
2020-10-07,"KELANTAN",0,3
2020-10-07,"SABAH",0,30
2020-10-07,"SARAWAK",0,55
2020-10-07,"WP KUALA LUMPUR",1,336
2020-10-07,"WP PUTRAJAYA",0,14
2020-10-07,"WP LABUAN",0,6
2020-10-08,"PERLIS",0,0
