week,state,abs_0_4,abs_5_11,abs_12_17,abs_18_29,abs_30_39,abs_40_49,abs_50_59,abs_60_69,abs_70_79,abs_80_+,perc_0_4,perc_5_11,perc_12_17,perc_18_29,perc_30_39,perc_40_49,perc_50_59,perc_60_69,perc_70_79,perc_80_+,capita_0_4,capita_5_11,capita_12_17,capita_18_29,capita_30_39,capita_40_49,capita_50_59,capita_60_69,capita_70_79,capita_80_+
w11,W.P. Labuan,0,0,0,3,1,0,0,0,0,0,0.0,0.0,0.0,75.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.87,5.13,0.0,0.0,0.0,0.0,0.0
w10,W.P. Labuan,0,0,1,2,1,0,0,0,0,0,0.0,0.0,25.0,50.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.8,10.58,5.13,0.0,0.0,0.0,0.0,0.0
w9,W.P. Labuan,0,0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.24,0.0
w8,W.P. Labuan,0,0,1,2,3,0,0,0,1,0,0.0,0.0,14.29,28.57,42.86,0.0,0.0,0.0,14.29,0.0,0.0,0.0,9.8,10.58,15.38,0.0,0.0,0.0,47.62,0.0
w7,W.P. Labuan,0,0,0,2,2,0,0,0,0,0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.58,10.26,0.0,0.0,0.0,0.0,0.0
w6,W.P. Labuan,0,0,0,1,0,1,0,1,0,0,0.0,0.0,0.0,33.33,0.0,33.33,0.0,33.33,0.0,0.0,0.0,0.0,0.0,5.29,0.0,7.87,0.0,18.18,0.0,0.0
w5,W.P. Labuan,0,0,0,2,4,1,0,0,0,1,0.0,0.0,0.0,25.0,50.0,12.5,0.0,0.0,0.0,12.5,0.0,0.0,0.0,10.58,20.51,7.87,0.0,0.0,0.0,100.0
w4,W.P. Labuan,0,0,7,2,8,3,0,3,1,1,0.0,0.0,28.0,8.0,32.0,12.0,0.0,12.0,4.0,4.0,0.0,0.0,68.63,10.58,41.03,23.62,0.0,54.55,47.62,100.0
w3,W.P. Labuan,0,0,3,10,9,2,1,2,1,0,0.0,0.0,10.71,35.71,32.14,7.14,3.57,7.14,3.57,0.0,0.0,0.0,29.41,52.91,46.15,15.75,11.36,36.36,47.62,0.0
w2,W.P. Labuan,1,0,6,11,4,2,3,2,0,0,3.45,0.0,20.69,37.93,13.79,6.9,10.34,6.9,0.0,0.0,11.49,0.0,58.82,58.2,20.51,15.75,34.09,36.36,0.0,0.0
w1,W.P. Labuan,0,1,0,3,1,1,1,2,2,2,0.0,7.69,0.0,23.08,7.69,7.69,7.69,15.38,15.38,15.38,0.0,8.2,0.0,15.87,5.13,7.87,11.36,36.36,95.24,200.0
w0,W.P. Labuan,0,1,0,5,9,2,3,1,2,2,0.0,4.0,0.0,20.0,36.0,8.0,12.0,4.0,8.0,8.0,0.0,8.2,0.0,26.46,46.15,15.75,34.09,18.18,95.24,200.0
w24,W.P. Putrajaya,3,5,3,26,56,40,6,2,1,1,2.1,3.5,2.1,18.18,39.16,27.97,4.2,1.4,0.7,0.7,26.55,23.26,31.58,166.67,255.71,246.91,71.43,42.55,142.86,500.0
w23,W.P. Putrajaya,6,0,4,23,42,26,5,1,1,1,5.5,0.0,3.67,21.1,38.53,23.85,4.59,0.92,0.92,0.92,53.1,0.0,42.11,147.44,191.78,160.49,59.52,21.28,142.86,500.0
